protein_ac,gene_name,protein_name,entrez_id
Q8IX01,SUGP2,SURP and G-patch domain-containing protein 2,10147
P50135,HNMT,Histamine N-methyltransferase,3176
Q01449,MYL7,Myosin regulatory light chain 2,58498
Q9UN73,PCDHA6,Protocadherin alpha-6,56142
O60732,MAGEC1,Melanoma-associated antigen C1,9947
Q8N138,ORMDL3,ORM1-like protein 3,94103
Q96AH8,RAB7B,Ras-related protein Rab-7b,338382
O00423,EML1,Echinoderm microtubule-associated protein-like 1,2009
P49796,RGS3,Regulator of G-protein signaling 3,5998
P47804,RGR,RPE-retinal G protein-coupled receptor,5995
Q8TBP6,SLC25A40,Solute carrier family 25 member 40,55972
Q9P298,HIGD1B,HIG1 domain family member 1B,51751
Q8IYX8,CEP57L1,Centrosomal protein CEP57L1,285753
P47897,QARS,Glutamine--tRNA ligase,5859
P24001,IL32,Interleukin-32,9235
Q12882,DPYD,Dihydropyrimidine dehydrogenase [NADP(+)],1806
Q9Y2R4,DDX52,Probable ATP-dependent RNA helicase DDX52,11056
Q8WZ82,OVCA2,Esterase OVCA2,124641
Q0VDD7,C19orf57,Uncharacterized protein C19orf57,79173
Q9H2B2,SYT4,Synaptotagmin-4,6860
Q6V702,CFAP299,Cilia- and flagella-associated protein 299,255119
Q9Y5V0,ZNF706,Zinc finger protein 706,51123
Q5VUJ6,LRCH2,Leucine-rich repeat and calponin homology domain-containing protein 2,57631
O14972,VPS26C,Vacuolar protein sorting-associated protein 26C,10311
Q04724,TLE1,Transducin-like enhancer protein 1,7088
Q8TDJ6,DMXL2,DmX-like protein 2,23312
Q9P000,COMMD9,COMM domain-containing protein 9,29099
Q9UMX5,NENF,Neudesin,29937
Q9H0R8,GABARAPL1,Gamma-aminobutyric acid receptor-associated protein-like 1,23710
P61457,PCBD1,Pterin-4-alpha-carbinolamine dehydratase,5092
Q9NZR1,TMOD2,Tropomodulin-2,29767
P12694,BCKDHA,2-oxoisovalerate dehydrogenase subunit alpha,593
Q8TBC3,SHKBP1,SH3KBP1-binding protein 1,92799
Q8TD22,SFXN5,Sideroflexin-5,94097
Q7LGA3,HS2ST1,Heparan sulfate 2-O-sulfotransferase 1,9653
Q8N5C7,DTWD1,DTW domain-containing protein 1,56986
Q8N9F8,ZNF454,Zinc finger protein 454,285676
Q8WXA2,PATE1,Prostate and testis expressed protein 1,160065
B7ZW38,HNRNPCL3,Heterogeneous nuclear ribonucleoprotein C-like 3,649330
Q7Z2W7,TRPM8,Transient receptor potential cation channel subfamily M member 8,79054
Q96K75,ZNF514,Zinc finger protein 514,84874
Q02962,PAX2,Paired box protein Pax-2,5076
Q401N2,ZACN,Zinc-activated ligand-gated ion channel,353174
Q9Y275,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,10673
Q04741,EMX1,Homeobox protein EMX1,2016
P25791,LMO2,Rhombotin-2,4005
O94906,PRPF6,Pre-mRNA-processing factor 6,24148
Q9Y6H1,CHCHD2,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2,51142
Q15555,MAPRE2,Microtubule-associated protein RP/EB family member 2,10982
Q9NXF1,TEX10,Testis-expressed protein 10,54881
P27105,STOM,Erythrocyte band 7 integral membrane protein,2040
A6QL63,BTBD11,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11,121551
Q02218,OGDH,2-oxoglutarate dehydrogenase,4967
Q53H47,SETMAR,Histone-lysine N-methyltransferase SETMAR,6419
P62913,RPL11,60S ribosomal protein L11,6135
P80188,LCN2,Neutrophil gelatinase-associated lipocalin,3934
Q99523,SORT1,Sortilin,6272
Q9H4I3,TRABD,TraB domain-containing protein,80305
A5D8V6,VPS37C,Vacuolar protein sorting-associated protein 37C,55048
O94901,SUN1,SUN domain-containing protein 1,23353
Q9H5J8,TAF1D,TATA box-binding protein-associated factor RNA polymerase I subunit D,79101
Q8IVF2,AHNAK2,Protein AHNAK2,113146
P48146,NPBWR2,Neuropeptides B/W receptor type 2,2832
Q9BXW9,FANCD2,Fanconi anemia group D2 protein,2177
O75330,HMMR,Hyaluronan mediated motility receptor,3161
Q9HCS2,CYP4F12,Cytochrome P450 4F12,66002
O95847,SLC25A27,Mitochondrial uncoupling protein 4,9481
Q16890,TPD52L1,Tumor protein D53,7164
P20749,BCL3,B-cell lymphoma 3 protein,602
Q9BRA2,TXNDC17,Thioredoxin domain-containing protein 17,84817
O43820,HYAL3,Hyaluronidase-3,8372
O43236,SEPTIN4,Septin-4,5414
O75477,ERLIN1,Erlin-1,10613
P36952,SERPINB5,Serpin B5,5268
Q9H825,METTL8,mRNA N(3)-methylcytidine methyltransferase METTL8,79828
Q9H490,PIGU,Phosphatidylinositol glycan anchor biosynthesis class U protein,128869
Q86WK7,AMIGO3,Amphoterin-induced protein 3,386724
Q15723,ELF2,ETS-related transcription factor Elf-2,1998
Q8IZV5,RDH10,Retinol dehydrogenase 10,157506
Q7RTS6,OTOP2,Proton channel OTOP2,92736
Q96RQ1,ERGIC2,Endoplasmic reticulum-Golgi intermediate compartment protein 2,51290
Q16584,MAP3K11,Mitogen-activated protein kinase kinase kinase 11,4296
P08F94,PKHD1,Fibrocystin,5314
O60294,LCMT2,tRNA wybutosine-synthesizing protein 4,9836
O75679,RFPL3,Ret finger protein-like 3,10738
Q8N5G0,SMIM20,Small integral membrane protein 20,389203
Q96RY7,IFT140,Intraflagellar transport protein 140 homolog,9742
Q9NPG8,ZDHHC4,Probable palmitoyltransferase ZDHHC4,55146
O94887,FARP2,FERM,9855
Q99990,VGLL1,Transcription cofactor vestigial-like protein 1,51442
Q9H3F6,KCTD10,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,83892
Q9BRS2,RIOK1,Serine/threonine-protein kinase RIO1,83732
Q8IYW5,RNF168,E3 ubiquitin-protein ligase RNF168,165918
Q9UGJ1,TUBGCP4,Gamma-tubulin complex component 4,27229
P21127,CDK11B,Cyclin-dependent kinase 11B,984
Q3ZCQ8,TIMM50,Mitochondrial import inner membrane translocase subunit TIM50,92609
P78371,CCT2,T-complex protein 1 subunit beta,10576
Q8TAI7,RHEBL1,GTPase RhebL1,121268
P11488,GNAT1,Guanine nucleotide-binding protein G(t) subunit alpha-1,2779
P62249,RPS16,40S ribosomal protein S16,6217
Q9Y3A4,RRP7A,Ribosomal RNA-processing protein 7 homolog A,27341
P42357,HAL,Histidine ammonia-lyase,3034
Q9BUP0,EFHD1,EF-hand domain-containing protein D1,80303
O60290,ZNF862,Zinc finger protein 862,643641
Q9NP86,CABP5,Calcium-binding protein 5,56344
P31415,CASQ1,Calsequestrin-1,844
Q6P4A7,SFXN4,Sideroflexin-4,119559
O14508,SOCS2,Suppressor of cytokine signaling 2,8835
A1L167,UBE2QL1,Ubiquitin-conjugating enzyme E2Q-like protein 1,134111
P15313,ATP6V1B1,V-type proton ATPase subunit B,525
O60663,LMX1B,LIM homeobox transcription factor 1-beta,4010
P52746,ZNF142,Zinc finger protein 142,7701
P20366,TAC1,Protachykinin-1,6863
Q99445,GML,Glycosyl-phosphatidylinositol-anchored molecule-like protein,2765
Q9Y2Y9,KLF13,Krueppel-like factor 13,51621
Q8TAQ2,SMARCC2,SWI/SNF complex subunit SMARCC2,6601
Q8WUB2,FAM216A,Protein FAM216A,29902
P50750,CDK9,Cyclin-dependent kinase 9,1025
Q92858,ATOH1,Protein atonal homolog 1,474
O95157,NXPH3,Neurexophilin-3,11248
O43524,FOXO3,Forkhead box protein O3,2309
P41212,ETV6,Transcription factor ETV6,2120
Q5ZPR3,CD276,CD276 antigen,80381
Q96AH0,NABP1,SOSS complex subunit B2,64859
Q96JB1,DNAH8,Dynein heavy chain 8,1769
Q9HBH1,PDF,Peptide deformylase,64146
Q6UXH1,CRELD2,Protein disulfide isomerase CRELD2,79174
P13866,SLC5A1,Sodium/glucose cotransporter 1,6523
P51164,ATP4B,Potassium-transporting ATPase subunit beta,496
Q9NVU0,POLR3E,DNA-directed RNA polymerase III subunit RPC5,55718
Q9Y6Q3,ZFP37,Zinc finger protein 37 homolog,7539
P53805,RCAN1,Calcipressin-1,1827
O75063,FAM20B,Glycosaminoglycan xylosylkinase,9917
Q9HBG6,IFT122,Intraflagellar transport protein 122 homolog,55764
A6NFQ2,TCAF2,TRPM8 channel-associated factor 2,285966
Q8NCW6,GALNT11,Polypeptide N-acetylgalactosaminyltransferase 11,63917
Q08999,RBL2,Retinoblastoma-like protein 2,5934
O75691,UTP20,Small subunit processome component 20 homolog,27340
O95263,PDE8B,High affinity cAMP-specific and IBMX-insensitive 3',8622
P36544,CHRNA7,Neuronal acetylcholine receptor subunit alpha-7,89832
Q9NX24,NHP2,H/ACA ribonucleoprotein complex subunit 2,55651
P42575,CASP2,Caspase-2,835
P07306,ASGR1,Asialoglycoprotein receptor 1,432
Q9Y2C2,UST,Uronyl 2-sulfotransferase,10090
Q10713,PMPCA,Mitochondrial-processing peptidase subunit alpha,23203
Q8IVJ1,SLC41A1,Solute carrier family 41 member 1,254428
Q3KQZ1,SLC25A35,Solute carrier family 25 member 35,399512
O95399,UTS2,Urotensin-2,10911
O00141,SGK1,Serine/threonine-protein kinase Sgk1,6446
Q9UBL6,CPNE7,Copine-7,27132
Q96PB1,CASD1,N-acetylneuraminate 9-O-acetyltransferase,64921
P62277,RPS13,40S ribosomal protein S13,6207
Q9H3S3,TMPRSS5,Transmembrane protease serine 5,80975
Q5VVM6,CCDC30,Coiled-coil domain-containing protein 30,728621
Q99741,CDC6,Cell division control protein 6 homolog,990
Q9H293,IL25,Interleukin-25,64806
Q6ZP80,TMEM182,Transmembrane protein 182,130827
Q8IUS5,EPHX4,Epoxide hydrolase 4,253152
Q13444,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,8751
Q9H2P9,DPH5,Diphthine methyl ester synthase,51611
O75880,SCO1,Protein SCO1 homolog,6341
Q96KD3,FAM71F1,Protein FAM71F1,84691
P02763,ORM1,Alpha-1-acid glycoprotein 1,5004
P49069,CAMLG,Calcium signal-modulating cyclophilin ligand,819
Q86UV7,TRIM73,Tripartite motif-containing protein 73,375593
O00338,SULT1C2,Sulfotransferase 1C2,6819
P07858,CTSB,Cathepsin B,1508
Q15835,GRK1,Rhodopsin kinase GRK1,6011
P51608,MECP2,Methyl-CpG-binding protein 2,4204
Q6UWB1,IL27RA,Interleukin-27 receptor subunit alpha,9466
Q13363,CTBP1,C-terminal-binding protein 1,1487
Q2VPB7,AP5B1,AP-5 complex subunit beta-1,91056
Q96E93,KLRG1,Killer cell lectin-like receptor subfamily G member 1,10219
P42768,WAS,Wiskott-Aldrich syndrome protein,7454
Q9HC29,NOD2,Nucleotide-binding oligomerization domain-containing protein 2,64127
Q13574,DGKZ,Diacylglycerol kinase zeta,8525
P41181,AQP2,Aquaporin-2,359
Q9Y4U1,MMACHC,Methylmalonic aciduria and homocystinuria type C protein,25974
O00512,BCL9,B-cell CLL/lymphoma 9 protein,607
Q13023,AKAP6,A-kinase anchor protein 6,9472
P52738,ZNF140,Zinc finger protein 140,7699
Q9H4A6,GOLPH3,Golgi phosphoprotein 3,64083
Q9NV70,EXOC1,Exocyst complex component 1,55763
O94788,ALDH1A2,Retinal dehydrogenase 2,8854
P12757,SKIL,Ski-like protein,6498
Q9H0H5,RACGAP1,Rac GTPase-activating protein 1,29127
P21580,TNFAIP3,Tumor necrosis factor alpha-induced protein 3,7128
Q86YD1,PTOV1,Prostate tumor-overexpressed gene 1 protein,53635
Q8NAN2,MIGA1,Mitoguardin 1,374986
A6NJZ7,RIMBP3C,RIMS-binding protein 3C,150221
A0AVF1,TTC26,Intraflagellar transport protein 56,79989
O95755,RAB36,Ras-related protein Rab-36,9609
Q6EEV6,SUMO4,Small ubiquitin-related modifier 4,387082
Q9UEY8,ADD3,Gamma-adducin,120
Q149N8,SHPRH,E3 ubiquitin-protein ligase SHPRH,257218
P48552,NRIP1,Nuclear receptor-interacting protein 1,8204
P63027,VAMP2,Vesicle-associated membrane protein 2,6844
Q6QNY0,BLOC1S3,Biogenesis of lysosome-related organelles complex 1 subunit 3,388552
O14782,KIF3C,Kinesin-like protein KIF3C,3797
Q8N9V3,WDSUB1,WD repeat,151525
Q9UM13,ANAPC10,Anaphase-promoting complex subunit 10,10393
Q16610,ECM1,Extracellular matrix protein 1,1893
P69849,NOMO3,Nodal modulator 3,408050
Q5SVS4,SLC25A30,Kidney mitochondrial carrier protein 1,253512
Q9H2X3,CLEC4M,C-type lectin domain family 4 member M,10332
Q5VTA0,PRAMEF17,PRAME family member 17,391004
Q3L8U1,CHD9,Chromodomain-helicase-DNA-binding protein 9,80205
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,5718
Q9Y5I2,PCDHA10,Protocadherin alpha-10,56139
A6NHC0,CAPN8,Calpain-8,388743
Q8N3E9,PLCD3,1-phosphatidylinositol 4,113026
Q9H3P2,NELFA,Negative elongation factor A,7469
Q6FHJ7,SFRP4,Secreted frizzled-related protein 4,6424
Q9NPH5,NOX4,NADPH oxidase 4,50507
Q9NUJ3,TCP11L1,T-complex protein 11-like protein 1,55346
Q9NWV4,CZIB,CXXC motif containing zinc binding protein,54987
Q6PK04,CCDC137,Coiled-coil domain-containing protein 137,339230
Q6ZMN8,CCNI2,Cyclin-I2,645121
Q5BKT4,ALG10,Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,84920
Q9P2R7,SUCLA2,Succinate--CoA ligase [ADP-forming] subunit beta,8803
Q9Y3A6,TMED5,Transmembrane emp24 domain-containing protein 5,50999
O76031,CLPX,ATP-dependent Clp protease ATP-binding subunit clpX-like,10845
P02747,C1QC,Complement C1q subcomponent subunit C,714
Q9H1A3,METTL9,Methyltransferase-like protein 9,51108
Q99942,RNF5,E3 ubiquitin-protein ligase RNF5,6048
Q9NWT6,HIF1AN,Hypoxia-inducible factor 1-alpha inhibitor,55662
Q9BYD1,MRPL13,39S ribosomal protein L13,28998
Q9BRB3,PIGQ,Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q,9091
Q5T8I9,HENMT1,Small RNA 2'-O-methyltransferase,113802
P51861,CDR1,Cerebellar degeneration-related antigen 1,1038
Q6XUX3,DSTYK,Dual serine/threonine and tyrosine protein kinase,25778
O43603,GALR2,Galanin receptor type 2,8811
Q9NS87,KIF15,Kinesin-like protein KIF15,56992
Q6NUK4,REEP3,Receptor expression-enhancing protein 3,221035
A6NLP5,TTC36,Tetratricopeptide repeat protein 36,143941
Q8WTW4,NPRL2,GATOR complex protein NPRL2,10641
Q9UGR2,ZC3H7B,Zinc finger CCCH domain-containing protein 7B,23264
P28062,PSMB8,Proteasome subunit beta type-8,5696
Q96J88,EPSTI1,Epithelial-stromal interaction protein 1,94240
P43220,GLP1R,Glucagon-like peptide 1 receptor,2740
Q6ZNK6,TIFAB,TRAF-interacting protein with FHA domain-containing protein B,497189
Q6UX39,AMTN,Amelotin,401138
Q9Y2L9,LRCH1,Leucine-rich repeat and calponin homology domain-containing protein 1,23143
Q5VST6,ABHD17B,Alpha/beta hydrolase domain-containing protein 17B,51104
Q9Y399,MRPS2,28S ribosomal protein S2,51116
O95409,ZIC2,Zinc finger protein ZIC 2,7546
Q86XT2,VPS37D,Vacuolar protein sorting-associated protein 37D,155382
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,3190
P31323,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,5577
P56704,WNT3A,Protein Wnt-3a,89780
Q6ZN30,BNC2,Zinc finger protein basonuclin-2,54796
Q9UIF9,BAZ2A,Bromodomain adjacent to zinc finger domain protein 2A,11176
O75900,MMP23B,Matrix metalloproteinase-23,8510
Q8NDG6,TDRD9,ATP-dependent RNA helicase TDRD9,122402
P00740,F9,Coagulation factor IX,2158
Q96HA1,POM121,Nuclear envelope pore membrane protein POM 121,9883
Q13637,RAB32,Ras-related protein Rab-32,10981
Q9Y230,RUVBL2,RuvB-like 2,10856
O15438,ABCC3,Canalicular multispecific organic anion transporter 2,8714
Q9UHP7,CLEC2D,C-type lectin domain family 2 member D,29121
P40222,TXLNA,Alpha-taxilin,200081
O94850,DDN,Dendrin,23109
O43791,SPOP,Speckle-type POZ protein,8405
Q96CT7,CCDC124,Coiled-coil domain-containing protein 124,115098
Q9Y277,VDAC3,Voltage-dependent anion-selective channel protein 3,7419
P61421,ATP6V0D1,V-type proton ATPase subunit d 1,9114
Q96S94,CCNL2,Cyclin-L2,81669
Q9UHD8,SEPTIN9,Septin-9,10801
A2RUS2,DENND3,DENN domain-containing protein 3,22898
P29508,SERPINB3,Serpin B3,6317
O60234,GMFG,Glia maturation factor gamma,9535
Q15020,SART3,Squamous cell carcinoma antigen recognized by T-cells 3,9733
O60547,GMDS,GDP-mannose 4,2762
Q9H0B3,IQCN,IQ domain-containing protein N,80726
P13686,ACP5,Tartrate-resistant acid phosphatase type 5,54
Q7Z7H8,MRPL10,39S ribosomal protein L10,124995
Q96QG7,MTMR9,Myotubularin-related protein 9,66036
Q6P9H4,CNKSR3,Connector enhancer of kinase suppressor of ras 3,154043
P00390,GSR,Glutathione reductase,2936
P46092,CCR10,C-C chemokine receptor type 10,2826
Q96D42,HAVCR1,Hepatitis A virus cellular receptor 1,26762
P08311,CTSG,Cathepsin G,1511
A8MXZ3,KRTAP9-1,Keratin-associated protein 9-1,728318
Q5VTT5,MYOM3,Myomesin-3,127294
P52945,PDX1,Pancreas/duodenum homeobox protein 1,3651
P49841,GSK3B,Glycogen synthase kinase-3 beta,2932
Q8WU58,FAM222B,Protein FAM222B,55731
Q7L775,EPM2AIP1,EPM2A-interacting protein 1,9852
Q7RTR2,NLRC3,NLR family CARD domain-containing protein 3,197358
Q9BTV4,TMEM43,Transmembrane protein 43,79188
Q9NYJ8,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,23118
P10275,AR,Androgen receptor,367
O43251,RBFOX2,RNA binding protein fox-1 homolog 2,23543
Q6P9B9,INTS5,Integrator complex subunit 5,80789
Q8N9V2,TRIML1,Probable E3 ubiquitin-protein ligase TRIML1,339976
Q86YR6,POTED,POTE ankyrin domain family member D,317754
A9UHW6,MIF4GD,MIF4G domain-containing protein,57409
Q70J99,UNC13D,Protein unc-13 homolog D,201294
Q05BQ5,MBTD1,MBT domain-containing protein 1,54799
P34931,HSPA1L,Heat shock 70 kDa protein 1-like,3305
P54920,NAPA,Alpha-soluble NSF attachment protein,8775
Q9H8M2,BRD9,Bromodomain-containing protein 9,65980
P15882,CHN1,N-chimaerin,1123
Q99467,CD180,CD180 antigen,4064
P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,3811
Q9H255,OR51E2,Olfactory receptor 51E2,81285
Q5T5Y3,CAMSAP1,Calmodulin-regulated spectrin-associated protein 1,157922
Q6GPI1,CTRB2,Chymotrypsinogen B2,440387
P20592,MX2,Interferon-induced GTP-binding protein Mx2,4600
Q9UH03,SEPTIN3,Neuronal-specific septin-3,55964
Q9P1U0,ZNRD1,DNA-directed RNA polymerase I subunit RPA12,30834
Q9BW60,ELOVL1,Elongation of very long chain fatty acids protein 1,64834
Q07325,CXCL9,C-X-C motif chemokine 9,4283
Q9UH65,SWAP70,Switch-associated protein 70,23075
P60520,GABARAPL2,Gamma-aminobutyric acid receptor-associated protein-like 2,11345
Q92543,SNX19,Sorting nexin-19,399979
P09958,FURIN,Furin,5045
Q86UN3,RTN4RL2,Reticulon-4 receptor-like 2,349667
Q8N567,ZCCHC9,Zinc finger CCHC domain-containing protein 9,84240
Q6ZVD7,STOX1,Storkhead-box protein 1,219736
Q9BV94,EDEM2,ER degradation-enhancing alpha-mannosidase-like protein 2,55741
Q9HAW0,BRF2,Transcription factor IIIB 50 kDa subunit,55290
Q9H2Y7,ZNF106,Zinc finger protein 106,64397
P55854,SUMO3,Small ubiquitin-related modifier 3,6612
Q5XKP0,MICOS13,MICOS complex subunit MIC13,125988
Q9UJ04,TSPYL4,Testis-specific Y-encoded-like protein 4,23270
Q969H6,POP5,Ribonuclease P/MRP protein subunit POP5,51367
Q13564,NAE1,NEDD8-activating enzyme E1 regulatory subunit,8883
P08651,NFIC,Nuclear factor 1 C-type,4782
P33993,MCM7,DNA replication licensing factor MCM7,4176
A2RUC4,TYW5,tRNA wybutosine-synthesizing protein 5,129450
Q5GH77,XKR3,XK-related protein 3,150165
Q92613,JADE3,Protein Jade-3,9767
Q53TN4,CYBRD1,Cytochrome b reductase 1,79901
Q96JB2,COG3,Conserved oligomeric Golgi complex subunit 3,83548
Q8TDF5,NETO1,Neuropilin and tolloid-like protein 1,81832
Q8TDX6,CSGALNACT1,Chondroitin sulfate N-acetylgalactosaminyltransferase 1,55790
Q96MH6,TMEM68,Transmembrane protein 68,137695
P38432,COIL,Coilin,8161
Q641Q3,METRNL,Meteorin-like protein,284207
Q6NSI4,RADX,RPA-related protein RADX,55086
Q8IZF2,ADGRF5,Adhesion G protein-coupled receptor F5,221395
P49116,NR2C2,Nuclear receptor subfamily 2 group C member 2,7182
Q8N4N8,KIF2B,Kinesin-like protein KIF2B,84643
P36969,GPX4,Phospholipid hydroperoxide glutathione peroxidase,2879
Q15043,SLC39A14,Zinc transporter ZIP14,23516
P32298,GRK4,G protein-coupled receptor kinase 4,2868
P07766,CD3E,T-cell surface glycoprotein CD3 epsilon chain,916
O15063,KIAA0355,Uncharacterized protein KIAA0355,9710
Q53GS9,USP39,U4/U6.U5 tri-snRNP-associated protein 2,10713
O75616,ERAL1,GTPase Era,26284
Q92830,KAT2A,Histone acetyltransferase KAT2A,2648
Q6URK8,TEPP,Testis,374739
Q86YW0,PLCZ1,1-phosphatidylinositol 4,89869
P22570,FDXR,NADPH:adrenodoxin oxidoreductase,2232
Q01628,IFITM3,Interferon-induced transmembrane protein 3,10410
O75530,EED,Polycomb protein EED,8726
O00311,CDC7,Cell division cycle 7-related protein kinase,8317
Q9BQE5,APOL2,Apolipoprotein L2,23780
Q8WXG9,ADGRV1,Adhesion G-protein coupled receptor V1,84059
Q9XRX5,HHLA3,HERV-H LTR-associating protein 3,11147
O95833,CLIC3,Chloride intracellular channel protein 3,9022
Q9BRZ2,TRIM56,E3 ubiquitin-protein ligase TRIM56,81844
P54274,TERF1,Telomeric repeat-binding factor 1,7013
Q9GZZ7,GFRA4,GDNF family receptor alpha-4,64096
O60812,HNRNPCL1,Heterogeneous nuclear ribonucleoprotein C-like 1,343069
P25929,NPY1R,Neuropeptide Y receptor type 1,4886
O95749,GGPS1,Geranylgeranyl pyrophosphate synthase,9453
Q9HCM3,KIAA1549,UPF0606 protein KIAA1549,57670
Q9BT67,NDFIP1,NEDD4 family-interacting protein 1,80762
Q9NPC6,MYOZ2,Myozenin-2,51778
P56179,DLX6,Homeobox protein DLX-6,1750
Q96CU9,FOXRED1,FAD-dependent oxidoreductase domain-containing protein 1,55572
Q8NA58,PNLDC1,Poly(A)-specific ribonuclease PNLDC1,154197
Q9BYJ9,YTHDF1,YTH domain-containing family protein 1,54915
Q5GFL6,VWA2,von Willebrand factor A domain-containing protein 2,340706
Q15031,LARS2,Probable leucine--tRNA ligase,23395
Q9NZ94,NLGN3,Neuroligin-3,54413
O75131,CPNE3,Copine-3,8895
Q8NB16,MLKL,Mixed lineage kinase domain-like protein,197259
P34932,HSPA4,Heat shock 70 kDa protein 4,3308
Q96ER9,CCDC51,Mitochondrial potassium channel,79714
Q15390,MTFR1,Mitochondrial fission regulator 1,9650
Q14103,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0,3184
Q15256,PTPRR,Receptor-type tyrosine-protein phosphatase R,5801
Q3B7T1,EDRF1,Erythroid differentiation-related factor 1,26098
P61278,SST,Somatostatin,6750
Q96HU8,DIRAS2,GTP-binding protein Di-Ras2,54769
Q8NDX5,PHC3,Polyhomeotic-like protein 3,80012
P56470,LGALS4,Galectin-4,3960
Q9Y6D6,ARFGEF1,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,10565
Q9P0K8,FOXJ2,Forkhead box protein J2,55810
P50053,KHK,Ketohexokinase,3795
Q9BPW8,NIPSNAP1,Protein NipSnap homolog 1,8508
Q8NFZ5,TNIP2,TNFAIP3-interacting protein 2,79155
Q16518,RPE65,Retinoid isomerohydrolase,6121
O60245,PCDH7,Protocadherin-7,5099
Q68DX3,FRMPD2,FERM and PDZ domain-containing protein 2,143162
Q8NHE4,ATP6V0E2,V-type proton ATPase subunit e 2,155066
O75185,ATP2C2,Calcium-transporting ATPase type 2C member 2,9914
Q9Y463,DYRK1B,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,9149
Q9H6Q3,SLA2,Src-like-adapter 2,84174
O15232,MATN3,Matrilin-3,4148
Q9BPZ7,MAPKAP1,Target of rapamycin complex 2 subunit MAPKAP1,79109
P62195,PSMC5,26S proteasome regulatory subunit 8,5705
Q14012,CAMK1,Calcium/calmodulin-dependent protein kinase type 1,8536
Q8TEC5,SH3RF2,E3 ubiquitin-protein ligase SH3RF2,153769
Q9H0N0,RAB6C,Ras-related protein Rab-6C,84084
Q9P0K7,RAI14,Ankycorbin,26064
Q14590,ZNF235,Zinc finger protein 235,9310
O15444,CCL25,C-C motif chemokine 25,6370
Q9C0B0,UNK,RING finger protein unkempt homolog,85451
P17980,PSMC3,26S proteasome regulatory subunit 6A,5702
Q14106,TOB2,Protein Tob2,10766
Q5T8I3,FAM102B,Protein FAM102B,284611
Q92952,KCNN1,Small conductance calcium-activated potassium channel protein 1,3780
Q29983,MICA,MHC class I polypeptide-related sequence A,100507436
Q14831,GRM7,Metabotropic glutamate receptor 7,2917
Q2M3C6,TMEM266,Transmembrane protein 266,123591
Q9Y236,OSGIN2,Oxidative stress-induced growth inhibitor 2,734
Q9BQK8,LPIN3,Phosphatidate phosphatase LPIN3,64900
Q6ZP65,BICDL1,BICD family-like cargo adapter 1,92558
Q9UKU7,ACAD8,Isobutyryl-CoA dehydrogenase,27034
P30411,BDKRB2,B2 bradykinin receptor,624
Q7KZI7,MARK2,Serine/threonine-protein kinase MARK2,2011
Q7Z353,HDX,Highly divergent homeobox,139324
O75935,DCTN3,Dynactin subunit 3,11258
A8K855,EFCAB7,EF-hand calcium-binding domain-containing protein 7,84455
Q8N998,CCDC89,Coiled-coil domain-containing protein 89,220388
Q5W0Z9,ZDHHC20,Palmitoyltransferase ZDHHC20,253832
Q01167,FOXK2,Forkhead box protein K2,3607
Q9BWV7,TTLL2,Probable tubulin polyglutamylase TTLL2,83887
P26022,PTX3,Pentraxin-related protein PTX3,5806
O00559,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,9166
Q9UK53,ING1,Inhibitor of growth protein 1,3621
Q9GZM5,YIPF3,Protein YIPF3,25844
Q96FW1,OTUB1,Ubiquitin thioesterase OTUB1,55611
Q9Y2S6,TMA7,Translation machinery-associated protein 7,51372
Q8TF27,AGAP11,Arf-GAP with GTPase,119385
Q6UXB1,IGFL3,Insulin growth factor-like family member 3,388555
Q9H8W4,PLEKHF2,Pleckstrin homology domain-containing family F member 2,79666
Q1EHB4,SLC5A12,Sodium-coupled monocarboxylate transporter 2,159963
P28072,PSMB6,Proteasome subunit beta type-6,5694
P30838,ALDH3A1,Aldehyde dehydrogenase,218
P17568,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,4713
Q9BWD1,ACAT2,Acetyl-CoA acetyltransferase,39
Q6PCB0,VWA1,von Willebrand factor A domain-containing protein 1,64856
P25106,ACKR3,Atypical chemokine receptor 3,57007
Q92777,SYN2,Synapsin-2,6854
P16401,H1-5,Histone H1.5,3009
Q9H5F2,C11orf1,UPF0686 protein C11orf1,64776
Q9Y617,PSAT1,Phosphoserine aminotransferase,29968
Q8IYM0,FAM186B,Protein FAM186B,84070
P58417,NXPH1,Neurexophilin-1,30010
